x0,x1,x2,x3,uMs_cmd,uTs_cmd,iMs_cmd,iMs,iTs_cmd,iTs
-6.97175e-006,0.901898,9.00763,0.867062,-0.139241,4.79004,0,1.57575e-005,0.985992,0.90422
-4.72745e-005,0.895993,9.03136,0.889611,-0.138239,4.95496,0,-4.97069e-005,0.985992,0.895984
-0.000112938,0.885836,9.05472,0.912218,-0.137676,4.77981,0,-8.59252e-005,0.964256,0.888559
-0.000166696,0.878631,9.07628,0.934882,-0.136359,4.96745,0,-0.000168844,0.964256,0.878657
-0.000194475,0.872126,9.09756,0.9576,-0.136367,4.7638,0,-0.000163548,0.944789,0.875322
-0.000264402,0.863397,9.11723,0.980368,-0.134711,4.97851,0,-0.000266173,0.944789,0.863465
-0.000255143,0.860534,9.13663,1.00319,-0.135099,4.74125,0,-0.000232475,0.927313,0.864285
-0.000343332,0.850015,9.15466,1.02605,-0.133267,4.98819,0,-0.000344626,0.927313,0.850131
-0.000308732,0.850872,9.17236,1.04896,-0.133588,5.01551,0,-0.000312902,0.927313,0.850718
-0.000406053,0.838249,9.18897,1.07191,-0.132004,4.99649,0,-0.000406759,0.911586,0.838421
-0.000373501,0.838887,9.20514,1.0949,-0.132257,5.026,0,-0.000377599,0.911586,0.838743
-0.000454789,0.827896,9.2205,1.11794,-0.130902,5.00342,0,-0.000454783,0.8974,0.828133
-0.000424815,0.828284,9.23532,1.14101,-0.131084,5.03575,0,-0.000428814,0.8974,0.828151
-0.000491463,0.818782,9.24956,1.16411,-0.129943,5.00892,0,-0.000490603,0.884573,0.819095
-0.000464629,0.818887,9.26319,1.18725,-0.130049,5.04481,0,-0.000468503,0.884573,0.818766
-0.00051772,0.810761,9.27641,1.21043,-0.129113,5.01293,0,-0.000515841,0.872947,0.811163
-0.00049464,0.810542,9.28899,1.23363,-0.129135,5.05323,0,-0.000498362,0.872947,0.810433
-0.000534959,0.803708,9.30129,1.25687,-0.128398,5.01534,0,-0.000531869,0.862386,0.804215
-0.000516316,0.803116,9.31293,1.28014,-0.128329,5.06106,0,-0.000519862,0.862386,0.803021
-0.000544354,0.79752,9.32439,1.30344,-0.127789,5.01598,0,-0.000539827,0.852771,0.798149
